timestamp,source,platform,url,text,type
2024-12-17T17:45:19.067Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3ldjfi5fzps2e,"Most interesting part of TikTok SCOTUS filing is plea for 13-day ""administrative injunction."" That could offer a path for Court to deny TikTok's plea for full injunction, but also push 1/19 deadline by a couple days until Trump takes office.",user_post
2024-12-16T16:32:16.453Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3ldgqwmc6222f,"Will SCOTUS stay TikTok 1/19 deadline? 

Some chance, but SCOTUS:

-must have 5 votes to issue stay
-denies *many* more stay pleas than it grants
-won't lightly halt a national-security deadline
-probably agrees w DC Cir ruling by Ginsburg, Rao, Srinivasan

www.bloomberg.com/news/article...",user_post
2024-12-14T03:48:28.850Z,Bluesky,capitalweather.bsky.social,at://did:plc:swlqsuo6nbyi7apom34s5vys/app.bsky.feed.post/3ldafcy4jes2t,"Anyone catch giant ring or halo around the moon tonight? It is caused by moonlight passing thru ice crystals in cirrus clouds!
What's cool is that you can also see Jupiter to the lower left of moon.
We have more some nice examples in our live updates article: www.washingtonpost.com/weather/2024...",user_post
2024-12-13T17:53:32.045Z,Bluesky,smmarotta.bsky.social,at://did:plc:dgkyncbh6kcchafzi55rqltt/app.bsky.feed.post/3ld7e357a2s2p,"This @jadler1969.bsky.social piece is excellent.  (Or summary of a piece.  The actual essay wasn't loading for me).  

There is no magic wand to ""pause"" or ""suspend"" the regulatory state.  Deregulation takes as much time and bureaucratic talent as regulation.  

reason.com/volokh/2024/...",user_post
2024-12-12T13:49:27.251Z,Bluesky,evelyndouek.bsky.social,at://did:plc:stq45dchpb5iht5u4ug2to3i/app.bsky.feed.post/3ld4fxromvk25,"I wrote about the TikTok case and what, exactly, the government thinks we should be so afraid of.

www.theatlantic.com/ideas/archiv...",user_post
2024-12-12T15:12:51.452Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3ld4kmxe64c2r,"Expect the D.C. Circuit to deny TikTok's request for an injunction blocking the Jan. 19 deadline, possibly today but more likely Friday or Monday.",user_post
2024-12-12T15:12:17.059Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3ld4klwmnm22r,"US tells D.C. Circuit that TikTok users may ""continue to use the platform for at least some time"" after Jan. 19, yet sale-or-ban law will ""eventually . . . render the application unworkable."" The parties haven't explored ""how quickly the application will cease to function.""",user_post
2024-12-10T16:12:10.069Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lcxmz4xdjc2k,"Though it's a closer question whether TikTok can get pause of 1/19 deadline, TikTok's chances of winning its suit against the sale-or-ban law aren't good.

Thanks to @viacristiano.bsky.social and @drewharwell.com 
for picking up on my analysis @washingtonpost.com 

washingtonpost.com/technology/2...",user_post
2024-12-09T15:40:28.213Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lcv2rjoewk27,"Will TikTok win at the US Supreme Court in challenge to US sale-or-ban law? The company is a significant underdog, we believe. Here was my appearance on Bloomberg Friday, December 6, just after the D.C. Circuit decision came out. 

www.bloomberg.com/news/videos/...",user_post
2024-12-06T16:02:42.952Z,Bluesky,genevievelakier.bsky.social,at://did:plc:zm5ieqxmfwowutvhufe2ljdc/app.bsky.feed.post/3lcnkmitaos2h,"The DC Circuit not only upholds the ban, but claims that the ban FURTHERS First Amendment values. A really remarkable argument that I worry SCOTUS will like.",user_post
